benchmark;environment;processed_gc_log_file_count;stw_pause_count;total_stw_ms;stw_overhead_percent;steady_state_start_s;steady_state_end_s;steady_state_wall_clock_span_ms;iteration_total_duration_ms;min_gc_uptime_s_in_steady_state_window;max_gc_uptime_s_in_steady_state_window;category_pause_cleanup_count;category_pause_cleanup_ms;category_pause_mark_end_count;category_pause_mark_end_ms;category_pause_mark_start_count;category_pause_mark_start_ms;category_pause_relocate_start_count;category_pause_relocate_start_ms;category_pause_remark_count;category_pause_remark_ms;category_pause_young_count;category_pause_young_ms
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
benchmark;environment;stw_pause_count;total_stw_ms;stw_overhead_percent;;;;;;;;;;;;;;;;;;;
akka-uct;G1GC-Java-21;41;5177.575000;1.668715;;;;;;;;;;;;;;;;;;;
akka-uct;G1GC-Java-25;40;5124.295000;1.688350;;;;;;;;;;;;;;;;;;;
akka-uct;ZGC-Java-21;27;0.774000;0.000247;;;;;;;;;;;;;;;;;;;
akka-uct;ZGC-Java-25;32;1.010000;0.000319;;;;;;;;;;;;;;;;;;;
als;G1GC-Java-21;41;2263.569000;0.735930;;;;;;;;;;;;;;;;;;;
als;G1GC-Java-25;26;2280.829000;0.740026;;;;;;;;;;;;;;;;;;;
als;ZGC-Java-21;14;0.328000;0.000107;;;;;;;;;;;;;;;;;;;
als;ZGC-Java-25;20;0.520000;0.000171;;;;;;;;;;;;;;;;;;;
chi-square;G1GC-Java-21;39;1906.774000;0.617298;;;;;;;;;;;;;;;;;;;
chi-square;G1GC-Java-25;34;1800.417000;0.582801;;;;;;;;;;;;;;;;;;;
chi-square;ZGC-Java-21;9;0.177000;0.000057;;;;;;;;;;;;;;;;;;;
chi-square;ZGC-Java-25;9;0.217000;0.000070;;;;;;;;;;;;;;;;;;;
db-shootout;G1GC-Java-21;39;1958.460000;0.609648;;;;;;;;;;;;;;;;;;;
db-shootout;G1GC-Java-25;37;1860.941000;0.591274;;;;;;;;;;;;;;;;;;;
db-shootout;ZGC-Java-21;24;0.646000;0.000202;;;;;;;;;;;;;;;;;;;
db-shootout;ZGC-Java-25;17;0.618000;0.000196;;;;;;;;;;;;;;;;;;;
dec-tree;G1GC-Java-21;32;2010.939000;0.649964;;;;;;;;;;;;;;;;;;;
dec-tree;G1GC-Java-25;32;2064.135000;0.669298;;;;;;;;;;;;;;;;;;;
dec-tree;ZGC-Java-21;11;0.232000;0.000075;;;;;;;;;;;;;;;;;;;
dec-tree;ZGC-Java-25;8;0.167000;0.000054;;;;;;;;;;;;;;;;;;;
dotty;G1GC-Java-21;4;989.352000;0.602012;;;;;;;;;;;;;;;;;;;
dotty;G1GC-Java-25;4;3087.956000;1.889113;;;;;;;;;;;;;;;;;;;
dotty;ZGC-Java-21;19;0.472000;0.000274;;;;;;;;;;;;;;;;;;;
dotty;ZGC-Java-25;15;0.437000;0.000254;;;;;;;;;;;;;;;;;;;
finagle-chirper;G1GC-Java-21;21;1175.529000;0.386183;;;;;;;;;;;;;;;;;;;
