Section A: throughput summary after warmup
benchmark;environment;measurement_count_after_warmup;total_duration_ms;avg_duration_ms;fastest_environment_for_benchmark;fastest_avg_duration_ms;is_fastest_environment
neo4j-analytics;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
page-rank;G1GC-Java-21;6;71;12993.665000;6.214164;533.703000;621.766000;1;13.330000;1;88.091000;69;12892.244000
page-rank;G1GC-Java-25;6;70;13614.860000;6.541129;534.197000;621.185000;1;12.477000;1;31.381000;68;13571.002000
page-rank;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
page-rank;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
par-mnemonics;G1GC-Java-21;6;49;2000.966000;0.728324;417.772000;601.951000;0;0.000000;0;0.000000;49;2000.966000
par-mnemonics;G1GC-Java-25;6;41;1688.761000;0.616270;439.621000;601.639000;0;0.000000;0;0.000000;41;1688.761000
par-mnemonics;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
par-mnemonics;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
philosophers;G1GC-Java-21;6;40;1726.443000;0.569987;385.689000;601.751000;0;0.000000;0;0.000000;40;1726.443000
philosophers;G1GC-Java-25;6;43;1923.903000;0.634408;347.576000;601.093000;0;0.000000;0;0.000000;43;1923.903000
philosophers;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
philosophers;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
reactors;G1GC-Java-21;6;19;1381.020000;0.445583;310.961000;612.159000;0;0.000000;0;0.000000;19;1381.020000
reactors;G1GC-Java-25;6;16;1389.169000;0.438452;308.911000;597.786000;0;0.000000;0;0.000000;16;1389.169000
reactors;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
reactors;ZGC-Java-25;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
rx-scrabble;G1GC-Java-21;6;39;1381.654000;0.474700;304.924000;598.465000;0;0.000000;0;0.000000;39;1381.654000
rx-scrabble;G1GC-Java-25;6;41;1504.657000;0.517251;300.838000;599.980000;0;0.000000;0;0.000000;41;1504.657000
rx-scrabble;ZGC-Java-21;6;0;0.000000;0.000000;;;0;0.000000;0;0.000000;0;0.000000
